 48.0 42.95 41.95 0.00
 48.0 42.95 41.95 0.01
 48.0 42.95 41.95 0.02
 48.0 42.95 41.95 0.04
 48.0 42.95 41.95 0.05
 48.0 42.95 41.95 0.06
 48.0 42.95 41.95 0.07
 48.0 42.95 41.95 0.09
 48.0 42.95 41.95 0.10
 48.0 42.95 41.95 0.11
 48.0 42.95 41.95 0.12
 48.0 42.95 41.95 0.14
 48.0 42.95 41.95 0.15
 48.0 42.95 41.95 0.16
 48.0 42.95 41.95 0.18
 48.0 42.95 41.95 0.19
 48.0 42.95 41.95 0.20
 48.0 42.95 41.95 0.21
 48.0 42.95 41.95 0.23
 48.0 42.95 41.95 0.24
 48.0 42.95 41.95 0.25
 48.0 42.95 41.95 0.26
 48.0 42.95 41.95 0.28
 48.0 42.95 41.95 0.29
 48.0 42.95 41.95 0.30
 48.0 42.95 41.95 0.31
 48.0 42.95 41.95 0.33
 48.0 42.95 41.95 0.34
 48.0 42.95 41.95 0.35
 48.0 42.95 41.95 0.37
 48.0 42.95 41.95 0.38
 48.0 42.95 41.95 0.39
 48.0 42.95 41.95 0.40
 48.0 42.95 41.95 0.42
 48.0 42.95 41.95 0.43
 48.0 42.95 41.95 0.44
 48.0 42.95 41.95 0.45
 48.0 42.95 41.95 0.47
 48.0 42.95 41.95 0.48
 48.0 42.95 41.95 0.49
 48.0 42.95 41.95 0.51
 48.0 42.95 41.95 0.52
 48.0 42.95 41.95 0.53
 48.0 42.95 41.95 0.54
 48.0 42.95 41.95 0.56
 48.0 42.95 41.95 0.57
 48.0 42.95 41.95 0.58
 48.0 42.95 41.95 0.59
 48.0 42.95 41.95 0.60
 48.0 42.95 41.95 0.61
 48.0 42.95 41.95 0.63
 48.0 42.95 41.95 0.64
 48.0 42.95 41.95 0.65
 48.0 42.95 41.95 0.66
 48.0 42.95 41.95 0.67
 48.0 42.95 41.95 0.68
 48.0 42.95 41.95 0.70
 48.0 42.95 41.95 0.71
 48.0 42.95 41.95 0.72
 48.0 42.95 41.95 0.73
 48.0 42.95 41.95 0.74
 48.0 42.95 41.95 0.76
 48.0 42.95 41.95 0.77
 48.0 42.95 41.95 0.78
 48.0 42.95 41.95 0.79
 48.0 42.95 41.95 0.80
 48.0 42.95 41.95 0.81
 48.0 42.95 41.95 0.83
 48.0 42.95 41.95 0.84
 48.0 42.95 41.95 0.85
 48.0 42.95 41.95 0.86
 48.0 42.95 41.95 0.87
 48.0 42.95 41.95 0.89
 48.0 42.95 41.95 0.90
 48.0 42.95 41.95 0.91
 48.0 42.95 41.95 0.92
 48.0 42.95 41.95 0.93
 48.0 42.95 41.95 0.94
 48.0 42.95 41.95 0.96
 48.0 42.95 41.95 0.97
 48.0 42.95 41.95 0.98
 48.0 42.95 41.95 0.99
 48.0 42.95 41.95 1.00
 48.0 42.95 41.95 1.02
 48.0 42.95 41.95 1.03
 48.0 42.95 41.95 1.04
 48.0 42.95 41.95 1.05
 48.0 42.95 41.95 1.06
 48.0 42.95 41.95 1.08
 48.0 42.95 41.95 1.09
 48.0 42.95 41.95 1.10
 48.0 42.95 41.95 1.11
 48.0 42.95 41.95 1.12
 48.0 42.95 41.95 1.13
 48.0 42.95 41.95 1.15
 48.0 42.95 41.95 1.16
 48.0 42.95 41.95 1.17
 48.0 42.95 41.95 1.18
 48.0 42.95 41.95 1.19
 48.0 42.95 41.95 1.20
 48.0 42.95 41.95 1.22
 48.0 42.95 41.95 1.23
